Source,Sector Names,Aggregated Sector,IPPC Code
CEDSv2021_04_21,1A1a_Electricity-autoproducer,Energy Industries,1 A 1
CEDSv2021_04_21,1A1a_Electricity-public,Energy Industries,1 A 1
CEDSv2021_04_21,1A1a_Heat-production,Energy Industries,1 A 1
CEDSv2021_04_21,1A1bc_Other-transformation,Energy Industries,1 A 1
CEDSv2021_04_21,1A2a_Ind-Comb-Iron-steel,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2b_Ind-Comb-Non-ferrous-metals,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2c_Ind-Comb-Chemicals,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2d_Ind-Comb-Pulp-paper,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2e_Ind-Comb-Food-tobacco,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2f_Ind-Comb-Non-metalic-minerals,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2g_Ind-Comb-Construction,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2g_Ind-Comb-machinery,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2g_Ind-Comb-mining-quarying,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2g_Ind-Comb-other,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2g_Ind-Comb-textile-leather,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2g_Ind-Comb-transpequip,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A2g_Ind-Comb-wood-products,Manufacturing Industries and Construction,1 A 2
CEDSv2021_04_21,1A3ai_Domestic-aviation,Transport,1 A 3
CEDSv2021_04_21,1A3ai_International-shipping,Transport,1 A 3
CEDSv2021_04_21,1A3ai_International-aviation,Transport,1 A 3
CEDSv2021_04_21,1A3b_Road,Transport,1 A 3
CEDSv2021_04_21,1A3c_Rail,Transport,1 A 3
