WEO,IAMC,Unit_WEO,Unit_IAMC,Conversion,Comment
Activity of stock-Total-Navigation: international bunkers,Energy Service|Transportation|Freight|Shipping|International,Billion tonne-km,billion tkm,1,
Activity of stock-Total-Road freight trucks,Energy Service|Transportation|Freight|Truck,Billion tonne-km,billion tkm,1,
Activity of stock-Total-Road passenger light duty vehicles,Energy Service|Transportation|Passenger|Road|Light-Duty Vehicle,Billion passenger-km,billion pkm,1,
Activity of stock-Total-Aviation: domestic and international bunkers,Energy Service|Transportation|Passenger|Aviation,Billion passenger-km,billion pkm,1,
Capacity: installed-Battery storage-Electrical capacity,Capacity|Electricity|Storage|Battery,GW,GW,1,
Capacity: installed-Bioenergy: with CCUS-Electrical capacity,Capacity|Electricity|Biomass|w/ CCS,GW,GW,1,
Capacity: installed-Coal: unabated-Electrical capacity,Capacity|Electricity|Coal|w/o CCS,GW,GW,1,total coal via summation
Capacity: installed-Coal: with CCUS-Electrical capacity,Capacity|Electricity|Coal|w/ CCS,GW,GW,1,
Capacity: installed-Concentrating solar power-Electrical capacity,Capacity|Electricity|Solar|CSP,GW,GW,1,total solar via summation
Capacity: installed-Fossil fuels: unabated-Electrical capacity,Capacity|Electricity|Fossil|w/o CCS,GW,GW,1,total fossil via summation
Capacity: installed-Fossil fuels: with CCUS-Electrical capacity,Capacity|Electricity|Fossil|w/ CCS,GW,GW,1,
Capacity: installed-Geothermal-Electrical capacity,Capacity|Electricity|Geothermal,GW,GW,1,
Capacity: installed-Hydro-Electrical capacity,Capacity|Electricity|Hydro,GW,GW,1,
Capacity: installed-Hydrogen and H2-based fuels-Electrical capacity,Capacity|Electricity|Hydrogen,GW,GW,1,
Capacity: installed-Marine-Electrical capacity,,,,,
Capacity: installed-Modern bioenergy and renewable waste-Electrical capacity,Capacity|Electricity|Biomass,GW,GW,1,
Capacity: installed-Natural gas: unabated-Electrical capacity,Capacity|Electricity|Gas|w/o CCS,GW,GW,1,
Capacity: installed-Natural Gas: with CCUS-Electrical capacity,Capacity|Electricity|Gas|w/ CCS,GW,GW,1,total gas via summation
Capacity: installed-Nuclear-Electrical capacity,Capacity|Electricity|Nuclear,GW,GW,1,
Capacity: installed-Oil-Electrical capacity,Capacity|Electricity|Oil,GW,GW,1,
Capacity: installed-Oil-Electrical capacity,,,,,
Capacity: installed-Renewables-Electrical capacity,,,,,
Capacity: installed-Solar PV-Electrical capacity,Capacity|Electricity|Solar|PV,GW,GW,1,
Capacity: installed-Total-Electrical capacity,Capacity|Electricity,GW,GW,1,
Capacity: installed-Wind-Electrical capacity,Capacity|Electricity|Wind,GW,GW,1,
CO2 total-Bioenergy and waste-Power sector inputs,,,,,
CO2 combustion-Bioenergy and waste-Total energy supply,,,,,
CO2 total-Bioenergy and waste-Total final consumption,,,,,
CO2 total- Coal-Power sector inputs,,,,,
CO2 combustion-Coal-Total energy supply,,,,,
CO2 combustion-Coal-Total final consumption,,,,,
CO2 total-Natural gas-Power sector inputs,,,,,
CO2 combustion-Natural gas-Total energy supply,,,,,
CO2 combustion-Natural gas-Total final consumption,,,,,
CO2 combustion-Oil-Total energy supply,,,,,
CO2 combustion-Oil-Total final consumption,,,,,
CO2 combustion-Total-Total energy supply,,,,,
CO2 total-Total-Buildings,Emissions|CO2|Energy|Demand|Residential and Commercial,Mt CO2,Mt CO2/yr,1,
CO2 total-Total-Power sector inputs,Emissions|CO2|Energy|Supply|Electricity w/ couple prod,Mt CO2,Mt CO2/yr,1,
CO2 total-Total-Residential,,,,,
CO2 total-Total-Road,Emissions|CO2|Transportation|Road,Mt CO2,Mt CO2/yr,1,
CO2 total-Total-Road freight trucks,,,,,
CO2 total-Total-Road passenger light duty vehicles,Emissions|CO2|Energy|Demand|Transportation|Light-Duty Vehicle,Mt CO2,Mt CO2/yr,1,
CO2 total-Total-Services,,,,,
CO2 total-Total-Aviation: domestic and international bunkers,,,,,
CO2 combustion-Total-Total energy supply,Emissions|CO2|Energy,Mt CO2,Mt CO2/yr,1,
CO2 total-Total-Navigation: domestic and international bunkers,,,,,
CO2 total-Total-Transport,Emissions|CO2|Energy|Demand|Transportation,Mt CO2,Mt CO2/yr,1,
CO2 combustion and process-Total-Non-metallic minerals: cement,Emissions|CO2|Energy and Industrial Processes|Demand|Industry|Cement,Mt CO2,Mt CO2/yr,1,
CO2 combustion and process-Total-Chemicals,Emissions|CO2|Energy and Industrial Processes|Demand|Industry|Chemicals,Mt CO2,Mt CO2/yr,1,
CO2 total-Total-Industry,Emissions|CO2|Energy and Industrial Processes|Demand|Industry,Mt CO2,Mt CO2/yr,1,
